ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
R101,4,2,2,4,1,2,4,1,3,3,2,2,3,4,2
R102,4,4,3,5,4,1,4,3,3,5,5,1,4,2,3
R103,2,3,1,1,5,2,1,4,1,2,4,1,1,5,1
R104,2,4,1,4,5,3,2,4,3,3,1,2,1,5,1
R105,2,2,2,2,2,3,2,2,2,3,2,4,3,3,3
R106,4,3,4,4,1,3,3,4,1,1,4,2,2,2,3
R107,5,3,1,5,2,1,4,4,1,3,4,1,3,3,1
R108,5,3,5,2,4,5,5,1,5,2,5,5,4,4,5
R109,5,3,5,5,3,5,5,3,4,4,2,5,5,3,4
R110,4,3,4,4,3,3,3,5,4,2,3,4,4,3,4
R111,2,5,2,5,3,3,4,3,3,5,4,3,4,4,3
R112,1,4,4,1,3,3,1,3,3,1,4,3,1,5,3
R113,4,3,2,3,3,2,4,4,1,2,1,1,3,3,2
R114,1,3,3,2,3,4,3,1,5,2,3,5,1,2,3
R115,2,2,1,2,2,1,3,4,2,4,3,3,4,3,2
R116,3,1,3,4,1,3,5,1,3,1,2,4,3,3,3
R117,1,4,3,1,4,3,1,5,5,1,5,5,1,5,5
R118,4,3,2,4,3,2,3,3,1,5,4,2,3,4,2
R119,2,3,3,2,5,3,1,4,3,2,3,2,2,4,3
R120,3,4,5,5,3,5,5,5,4,4,4,5,5,2,4
R121,2,3,5,2,5,5,3,4,5,3,3,5,2,4,4
R122,4,1,3,3,5,3,3,2,3,1,1,2,4,1,1
R123,1,1,1,1,3,3,2,1,3,1,1,3,1,3,3
R124,3,1,4,3,1,4,3,1,4,3,1,5,4,2,3
R125,1,4,4,3,5,4,2,2,3,2,3,4,1,3,5
R126,3,4,4,3,4,4,4,3,4,4,3,4,3,4,5
R127,3,3,4,3,3,2,2,4,2,4,5,1,3,3,3
R128,3,3,2,5,3,5,5,2,3,5,3,1,4,4,3
R129,1,4,2,1,4,2,1,4,3,2,2,4,2,4,4
R130,2,5,1,4,5,3,4,3,1,4,4,1,4,2,1
R131,3,2,4,4,2,5,1,3,5,1,4,5,3,1,4
R132,2,4,4,2,3,3,3,5,3,3,2,5,3,2,5
R133,4,1,4,3,1,5,3,1,4,2,3,5,4,2,5
R134,2,2,4,3,3,4,1,1,2,5,2,3,3,1,4
R135,3,4,3,4,3,4,5,4,2,5,5,3,4,3,2
R136,1,2,2,2,3,2,4,4,2,1,2,2,3,3,4
R137,3,4,3,4,3,2,3,1,3,5,2,2,3,4,5
R138,1,2,1,3,1,1,3,3,1,3,2,1,1,3,1
R139,1,1,2,2,1,1,1,2,2,1,5,2,1,3,1
R140,5,3,5,5,2,4,3,3,5,5,3,3,3,3,3
R141,3,1,3,2,1,3,1,2,2,2,1,4,2,1,2
R142,4,5,2,3,5,1,3,5,2,5,4,2,5,2,2
R143,2,4,4,3,3,3,1,4,1,2,2,3,1,3,4
R144,3,5,2,3,5,4,3,3,4,3,4,4,3,3,5
R145,4,3,4,4,3,4,3,5,5,4,4,4,3,3,4
R146,5,3,4,4,5,2,2,5,1,4,5,1,3,3,3
R147,2,1,2,3,2,4,5,3,3,4,3,2,3,3,1
R148,4,4,2,4,5,3,3,3,5,3,3,4,4,4,4
R149,3,3,4,2,4,5,5,3,5,2,1,3,3,3,4
R150,3,3,2,4,2,1,5,1,3,3,2,1,4,1,2
R151,1,2,2,1,3,2,4,1,2,1,1,2,3,1,1
R152,5,5,5,5,5,5,5,5,5,5,3,4,5,5,3
R153,3,3,2,2,1,1,3,3,2,3,2,2,3,3,1
R154,5,4,5,4,3,3,4,4,4,3,4,4,5,4,4
R155,5,3,3,4,3,1,3,4,1,3,4,1,3,3,1
R156,3,2,5,2,1,2,3,2,3,3,2,4,3,3,2
R157,2,5,4,3,3,3,3,5,5,4,4,4,4,4,5
R158,2,5,3,2,4,2,2,5,2,2,3,3,2,4,1
R159,2,3,3,2,2,1,3,5,1,3,2,1,3,3,3
R160,1,4,4,3,3,3,2,3,4,2,5,5,3,4,5
R161,3,2,4,4,1,5,3,1,5,3,3,3,4,2,5
R162,2,1,1,1,1,1,2,3,1,1,1,1,3,1,1
R163,4,5,3,3,5,3,4,3,4,2,4,4,3,2,1
R164,5,5,4,3,5,4,2,5,5,3,5,3,4,4,5
R165,1,3,5,2,3,4,1,3,3,1,4,2,1,2,4
R166,1,2,3,2,1,3,3,1,2,2,4,3,3,3,2
R167,5,3,3,4,2,4,5,2,3,5,2,4,3,3,5
R168,1,5,2,1,4,5,2,3,4,1,5,2,1,2,4
R169,1,4,4,2,3,2,1,5,3,2,3,4,1,5,1
R170,1,1,3,2,1,3,2,1,3,1,1,4,2,1,3
R171,2,5,5,1,2,5,3,4,3,1,3,3,1,3,5
R172,1,1,3,2,2,2,1,3,3,3,2,2,1,3,3
R173,4,5,5,5,4,3,3,5,4,5,5,4,5,4,4
R174,4,4,2,3,4,4,2,4,3,2,2,4,3,3,3
R175,3,3,2,4,3,3,3,5,2,4,5,4,5,4,3
R176,5,1,3,4,3,3,3,4,2,1,2,2,3,2,2
R177,2,1,5,4,1,5,2,2,3,3,1,5,3,1,5
R178,2,1,1,1,2,2,3,3,4,2,2,4,1,3,3
R179,5,3,5,5,5,4,4,5,3,3,5,5,5,5,4
R180,4,4,3,5,3,3,5,3,1,3,5,1,4,4,1
R181,1,3,4,2,5,5,3,5,2,2,5,4,2,2,5
R182,3,3,1,3,4,2,3,3,2,4,2,1,2,5,1
R183,2,3,3,2,1,2,2,2,1,3,3,3,1,3,2
R184,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5
R185,2,1,1,2,2,4,3,1,4,3,2,2,2,2,1
R186,2,4,5,3,4,5,5,3,5,2,2,3,4,4,4
R187,3,2,1,3,2,1,2,2,1,1,3,1,2,2,1
R188,2,2,4,1,5,4,3,2,4,4,3,5,2,5,5
R189,4,1,4,5,1,4,4,1,3,2,2,3,2,1,3
R190,5,5,2,5,3,3,3,3,2,5,4,4,5,4,3
R191,3,2,4,3,2,4,5,4,4,2,3,3,4,2,4
R192,2,1,3,3,1,2,3,2,4,4,2,1,3,2,4
R193,2,3,1,3,2,3,2,4,3,1,3,3,2,3,3
R194,3,3,3,1,2,5,4,3,4,2,2,3,2,5,4
R195,4,1,3,3,3,4,5,1,4,2,2,3,3,4,3
R196,2,3,2,4,3,2,3,3,2,3,3,1,2,2,2
R197,3,4,4,3,5,3,5,4,3,2,4,4,5,3,1
R198,3,1,1,2,3,1,2,4,1,2,4,2,3,3,2
R199,4,3,3,2,3,3,2,2,3,2,3,2,3,4,4
R200,3,2,3,3,3,4,2,3,1,2,5,5,2,2,3
R201,1,2,2,2,3,2,2,3,3,2,4,3,1,3,1
R202,3,3,3,5,5,2,4,4,1,4,4,3,5,4,2
R203,4,3,3,3,2,4,3,3,4,4,3,4,3,4,3
R204,1,3,3,2,3,5,2,4,3,3,4,4,3,3,4
R205,5,5,5,3,4,3,5,5,4,3,3,3,4,4,4
R206,4,2,3,4,3,1,3,2,1,2,3,1,4,1,1
R207,4,3,5,5,3,4,3,5,5,5,2,3,4,4,4
R208,5,4,2,3,4,3,4,4,3,4,2,2,5,4,4
R209,4,3,1,5,1,1,4,1,1,5,1,5,3,2,1
R210,5,5,5,4,4,5,5,4,5,5,5,5,4,2,5
R211,2,1,5,1,1,3,1,1,4,2,1,4,1,1,5
R212,2,5,3,5,4,4,2,4,3,5,4,2,3,2,3
R213,1,2,3,4,3,4,3,4,4,4,1,2,3,3,3
R214,4,3,4,4,2,4,4,5,4,4,5,3,3,4,5
R215,3,2,2,1,4,1,2,1,2,2,3,1,3,1,1
R216,1,5,3,2,5,4,2,5,3,1,5,1,4,5,2
R217,3,4,3,1,4,5,1,4,3,2,3,5,2,5,4
R218,3,4,5,4,5,4,4,3,5,5,4,5,3,5,5
R219,4,4,2,3,5,2,3,3,1,4,3,1,2,3,3
R220,4,5,2,5,4,3,3,3,1,4,4,3,3,4,3
R221,5,5,2,3,5,4,5,5,4,5,5,3,4,5,3
R222,1,1,1,2,1,3,3,2,2,1,3,2,3,4,2
R223,3,4,3,3,5,3,5,5,3,3,4,5,4,3,4
R224,3,4,5,3,2,5,1,3,5,3,2,5,2,2,4
R225,3,5,5,3,4,2,3,5,4,3,3,5,3,5,1
R226,3,2,5,2,4,4,4,1,2,3,3,5,5,2,5
R227,2,1,2,2,1,1,1,1,3,2,1,2,3,3,2
R228,2,5,5,2,4,4,1,5,4,3,5,3,2,5,3
R229,3,3,2,2,2,4,3,4,4,5,2,5,4,4,4
R230,4,3,1,2,1,2,4,2,3,2,2,1,1,2,4
R231,4,2,2,2,5,2,2,2,3,2,2,2,3,4,4
R232,3,1,4,3,2,5,2,2,2,2,1,2,5,2,2
R233,3,5,1,1,1,1,1,3,1,1,1,1,2,3,1
R234,5,4,4,4,4,3,5,4,3,3,4,2,3,2,4
R235,1,3,5,2,4,5,1,1,4,1,4,5,1,5,3
R236,4,4,2,5,2,2,3,1,2,4,3,1,4,2,2
R237,4,5,2,5,3,5,4,5,2,3,5,3,5,5,4
R238,3,4,4,4,5,4,3,4,4,3,4,5,3,3,4
R239,2,5,5,4,4,5,4,3,5,4,3,5,2,4,5
R240,5,3,4,5,2,3,4,3,4,5,2,3,3,2,4
R241,3,1,1,2,2,4,1,2,4,3,3,3,2,5,2
R242,1,2,1,3,3,1,2,4,1,4,4,1,2,4,2
R243,3,1,1,4,1,1,2,2,2,1,3,1,2,1,3
R244,2,3,1,1,1,1,1,2,1,2,4,4,1,1,1
R245,2,4,4,3,3,3,3,3,4,2,4,4,4,3,5
R246,5,3,2,5,4,2,5,1,2,5,1,1,5,5,1
R247,4,2,5,4,2,3,4,2,2,4,1,4,3,3,3
R248,3,4,4,4,4,5,5,5,5,4,3,4,4,4,5
R249,3,1,3,2,4,4,4,3,4,3,2,1,3,3,2
R250,5,5,3,4,5,4,4,5,5,5,5,4,3,2,5
R251,3,4,1,4,1,1,3,2,1,5,1,1,3,1,1
R252,3,5,2,1,5,4,1,4,4,2,4,3,3,2,2
R253,4,3,5,2,1,3,3,3,4,1,3,4,1,3,3
R254,4,5,4,4,3,4,5,2,4,3,2,2,4,3,3
R255,5,1,3,3,3,3,4,2,3,5,4,5,5,1,3
R256,3,1,4,3,2,2,4,4,5,1,3,3,3,4,4
R257,3,1,1,5,2,1,4,3,1,3,2,1,4,1,1
R258,5,4,5,5,5,3,4,4,3,5,4,4,5,5,4
R259,2,4,3,1,2,3,1,3,5,1,2,3,1,3,3
R260,3,2,1,3,3,1,4,4,2,3,1,1,2,1,1
R261,3,5,3,3,5,3,4,5,1,3,3,2,2,4,3
R262,3,5,3,4,5,5,3,5,4,5,4,4,5,5,3
R263,3,1,4,2,3,5,2,2,4,1,2,4,3,4,5
R264,3,4,4,3,3,2,1,3,3,3,4,3,5,3,3
R265,3,4,5,5,5,3,4,3,5,3,3,3,2,3,4
R266,5,5,5,5,4,5,5,5,5,5,4,4,4,3,5
R267,4,2,2,2,2,4,5,3,3,3,5,2,1,4,3
R268,5,2,3,5,3,1,5,2,2,4,1,3,5,1,2
R269,4,4,5,3,4,5,4,4,4,3,3,2,5,5,5
R270,1,2,1,1,5,2,3,2,2,2,4,3,2,3,2
R271,5,1,5,3,5,4,5,1,5,3,4,4,4,2,4
R272,4,4,5,1,4,4,2,4,4,5,4,4,4,5,3
R273,1,2,1,1,3,2,1,3,3,1,1,1,1,1,3
R274,5,1,1,3,2,2,3,2,2,2,2,3,2,1,4
R275,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1
R276,3,1,3,4,1,3,4,2,3,5,2,5,5,2,2
R277,3,1,2,3,2,3,3,3,2,2,2,2,1,4,4
R278,2,3,4,2,4,4,1,3,5,3,5,5,2,1,5
R279,1,4,4,1,2,5,1,5,2,1,3,4,1,2,5
R280,5,3,2,5,1,2,5,3,3,5,1,3,5,3,2
R281,5,3,2,5,4,5,4,4,3,5,3,3,5,4,2
R282,3,2,3,2,3,3,2,2,2,2,2,3,5,3,5
R283,3,1,4,1,1,3,3,2,4,2,3,4,2,1,1
R284,3,4,1,3,5,2,2,2,2,3,3,1,3,3,4
R285,1,2,2,3,3,4,2,2,3,2,3,2,1,2,4
R286,2,1,4,3,4,5,4,3,4,2,3,3,4,1,4
R287,1,3,5,2,5,2,2,3,3,1,5,3,1,3,3
R288,5,3,1,3,2,1,2,2,3,5,3,3,4,3,2
R289,4,4,4,3,5,5,5,4,4,4,4,5,5,5,5
R290,3,1,4,4,3,4,5,2,5,5,1,5,5,2,4
R291,3,3,2,5,2,2,5,3,3,4,4,2,3,4,2
R292,2,4,1,4,4,2,3,2,3,3,5,3,4,1,4
R293,2,1,3,1,4,3,1,3,3,3,3,2,3,2,3
R294,5,3,1,4,3,1,3,3,2,5,3,1,4,4,1
R295,2,1,5,3,3,4,2,3,5,3,4,5,3,5,5
R296,5,5,2,4,4,3,3,3,3,3,3,3,3,5,3
R297,2,3,1,1,2,1,2,2,3,3,5,3,3,3,1
R298,4,4,3,5,4,1,3,4,3,4,3,2,3,5,1
R299,5,3,4,5,4,2,5,4,4,5,4,4,5,3,4
R300,5,3,3,5,1,4,4,2,2,4,3,4,5,3,4
R301,5,4,1,5,5,4,4,4,3,5,3,4,5,5,4
R302,3,4,4,5,2,3,4,2,3,5,5,4,4,3,5
R303,5,4,2,3,3,2,3,3,3,3,3,2,5,3,3
R304,1,2,1,1,3,3,1,2,2,1,3,1,1,3,2
R305,5,3,4,5,3,5,5,3,5,5,5,5,5,3,4
R306,2,2,2,3,3,2,4,1,1,3,2,1,4,1,2
R307,2,1,2,1,2,1,2,5,2,3,2,1,1,3,1
R308,1,5,3,3,5,5,4,4,2,4,3,3,3,4,3
R309,3,2,4,3,2,3,2,3,3,3,3,4,2,1,2
R310,2,2,4,1,3,2,2,4,2,1,5,2,1,3,1
R311,2,2,2,2,1,4,2,3,2,2,3,2,3,3,2
R312,1,3,4,1,2,4,1,3,4,1,3,5,1,3,2
R313,1,3,1,2,4,2,1,4,1,1,1,2,2,3,2
R314,5,3,4,4,4,5,5,4,5,5,3,4,5,3,5
R315,3,4,5,2,2,3,2,2,2,3,2,4,2,1,5
R316,3,1,1,3,1,1,4,1,1,2,1,1,3,1,2
R317,5,4,3,4,4,2,4,5,1,3,4,3,5,3,2
R318,4,2,4,3,3,4,3,3,3,3,3,2,1,1,2
R319,2,2,2,2,3,2,3,1,2,2,4,1,1,3,1
R320,3,2,3,3,2,1,2,3,2,3,2,3,3,2,3
R321,1,1,2,1,1,2,1,1,3,1,1,3,1,1,2
R322,3,3,4,3,4,4,3,2,5,3,1,4,4,1,3
R323,3,5,4,3,4,4,4,4,4,3,4,4,4,4,2
R324,2,3,3,1,3,3,1,4,3,3,3,2,2,3,4
R325,4,4,2,4,2,3,5,3,3,4,4,3,3,3,5
R326,5,1,2,3,1,2,4,1,1,1,1,1,4,1,4
R327,1,4,3,2,4,3,2,3,2,3,3,2,4,3,4
R328,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1
R329,3,3,1,3,1,1,3,1,2,3,3,1,3,2,2
R330,5,3,3,5,3,3,5,1,2,5,3,2,5,1,3
R331,2,2,5,2,1,5,1,1,4,3,1,5,2,1,5
R332,4,5,2,3,3,4,5,5,2,4,4,4,4,3,3
R333,3,3,1,4,1,1,3,2,1,2,1,3,4,2,1
R334,2,1,1,2,3,2,1,1,1,1,3,1,2,1,2
R335,3,4,1,5,4,1,3,4,2,4,5,3,4,5,1
R336,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2
R337,5,3,5,4,3,5,4,4,5,1,2,5,4,2,3
R338,2,3,1,2,1,2,3,3,2,1,3,1,4,2,2
R339,4,5,3,2,3,3,3,5,2,4,3,2,3,5,1
R340,2,1,5,3,4,3,1,1,3,2,2,4,3,2,3
R341,5,3,4,5,2,3,5,2,1,5,1,3,5,2,3
R342,2,3,5,3,2,5,3,3,4,3,4,4,5,2,3
R343,3,2,4,4,2,1,3,1,4,2,1,3,4,1,3
R344,3,3,4,4,4,3,3,3,5,5,4,4,4,5,5
R345,3,5,3,2,2,5,3,3,4,3,4,5,3,3,3
R346,5,5,5,5,5,5,5,5,5,4,5,4,3,5,4
R347,4,3,2,4,3,4,4,5,2,5,4,3,3,5,2
R348,5,2,2,1,4,2,3,2,1,3,5,2,1,5,1
R349,1,3,2,1,4,2,1,2,2,2,5,4,1,5,2
R350,4,4,1,2,4,1,3,3,1,2,1,1,2,1,1
R351,2,3,2,5,3,1,4,3,1,3,2,4,3,1,2
R352,2,2,3,1,2,3,2,3,5,2,3,3,2,2,5
R353,2,5,3,2,2,4,3,3,2,3,1,4,4,1,4
R354,1,1,3,2,2,3,2,1,2,1,1,2,2,3,3
R355,2,5,2,1,3,1,1,3,1,2,4,1,1,4,1
R356,3,3,5,4,4,3,2,5,3,2,3,3,3,4,3
R357,2,1,3,1,1,4,2,3,5,3,1,3,1,1,3
R358,4,3,2,4,3,1,5,1,3,3,3,4,4,3,3
R359,1,5,5,2,5,3,1,4,1,3,5,1,2,3,3
R360,3,5,1,2,1,3,4,3,5,4,3,4,2,3,5
