Student_ID,Attendance_pct,Internal_Marks,Assignment_Marks,Study_Hours_per_Week,Result
S167,79.1,66.1,67.5,5.8,Pass
S216,83.6,69.9,69.8,7.2,Pass
S037,96.6,67.1,70.6,3.1,Pass
S279,77.3,70.6,54.9,3.6,Fail
S157,78.8,81.2,69.5,9.7,Pass
S282,79.4,61.3,71.4,6.5,Pass
S225,64.4,61.3,66.5,7.7,Pass
S021,93.0,57.3,74.3,5.5,Pass
S300,89.7,50.0,60.9,4.1,Pass
S237,88.4,71.5,65.1,5.2,Pass
S182,82.9,61.6,74.2,8.0,Pass
S083,69.0,59.0,61.4,5.5,Pass
S066,87.2,65.6,60.7,3.6,Pass
S081,78.4,74.2,69.8,7.2,Pass
S050,82.8,63.9,73.5,5.7,Pass
S292,92.8,66.7,62.5,5.7,Pass
S230,51.3,39.0,62.1,3.3,Fail
S241,86.0,44.8,60.6,4.1,Fail
S295,79.7,89.5,72.2,9.8,Pass
S234,75.9,62.7,61.4,6.1,Fail
S159,88.9,78.3,58.3,8.2,Pass
S110,75.1,62.7,70.6,3.9,Pass
S007,60.3,58.2,59.8,4.1,Fail
S285,61.7,64.2,61.5,5.7,Pass
S086,85.7,70.5,64.4,3.8,Fail
S030,97.1,60.1,52.4,3.0,Pass
S062,75.5,66.3,61.5,7.3,Fail
S195,88.5,76.8,63.7,7.1,Pass
S064,71.4,81.9,67.1,7.2,Pass
S013,70.8,70.0,60.1,4.9,Fail
S229,77.7,65.2,71.3,4.7,Pass
S124,77.8,64.6,65.9,7.0,Pass
S152,81.8,69.1,57.2,4.1,Pass
S118,81.3,75.2,67.7,6.9,Pass
S211,53.3,56.7,61.1,5.6,Fail
S097,91.4,49.1,65.6,5.1,Pass
S099,78.9,65.7,58.2,4.2,Pass
S303,70.7,62.1,62.6,4.1,Pass
S046,73.4,63.8,77.0,5.7,Pass
S017,82.6,65.5,56.6,3.2,Pass
S148,70.7,72.7,63.4,5.1,Pass
S257,84.1,62.0,68.5,7.1,Pass
S281,83.5,63.5,57.2,1.8,Fail
S071,75.8,61.6,56.3,3.9,Pass
S242,81.2,62.7,65.3,3.8,Pass
S311,84.0,55.5,63.0,3.8,Pass
S252,88.4,67.2,64.9,6.6,Pass
S221,72.5,76.2,69.0,5.1,Pass
S042,99.1,52.0,57.8,1.5,Fail
S098,73.0,55.1,67.3,4.9,Pass
S105,57.7,64.0,81.2,6.8,Fail
S177,81.3,83.1,75.9,7.6,Pass
S142,67.9,56.6,63.3,4.8,Fail
S208,78.7,61.7,59.5,2.8,Pass
S290,76.7,67.3,54.9,3.8,Pass
S207,73.6,72.8,63.4,6.4,Fail
S150,84.9,56.2,60.9,2.7,Pass
S145,76.4,55.5,65.1,4.4,Pass
S248,69.5,75.8,65.5,8.6,Pass
S209,76.5,57.7,57.0,5.7,Fail
S134,63.2,61.8,66.6,6.8,Pass
S263,84.2,60.5,67.2,5.2,Pass
S024,68.0,72.2,69.3,6.4,Pass
S308,53.3,38.8,58.9,4.1,Fail
S085,70.8,48.0,63.9,3.6,Fail
S135,74.0,59.2,50.2,2.7,Fail
S023,84.4,84.9,67.3,8.0,Pass
S106,87.0,69.5,67.5,6.9,Fail
S236,70.9,59.2,58.8,5.1,Pass
S206,89.3,61.0,67.7,5.3,Pass
S294,79.8,69.8,73.7,6.2,Pass
S101,89.0,58.5,68.8,4.3,Pass
S132,81.3,55.2,73.6,5.1,Pass
S018,70.4,59.6,55.2,5.1,Fail
S246,68.9,65.2,71.0,8.0,Pass
S224,83.8,53.7,55.6,3.2,Fail
S160,83.2,65.6,60.7,7.3,Pass
S038,64.4,59.0,55.7,6.9,Pass
S008,75.6,84.7,65.3,6.5,Pass
S020,85.3,64.8,63.1,5.0,Pass
S136,76.2,71.6,59.1,5.9,Pass
S153,73.7,62.3,70.6,6.7,Fail
S111,76.9,68.3,60.2,5.3,Pass
S108,84.0,58.8,69.2,7.2,Fail
S269,66.0,62.3,67.0,7.4,Pass
S175,93.6,67.1,64.4,3.3,Pass
S141,72.6,61.0,66.5,5.4,Fail
S299,66.7,64.5,68.9,4.3,Fail
S232,88.2,51.4,57.0,3.6,Pass
S116,80.7,74.3,69.7,6.2,Pass
S114,78.7,64.3,63.3,5.7,Pass
S127,69.7,69.9,63.7,5.6,Fail
S128,84.6,63.0,58.1,5.3,Pass
S202,88.6,56.9,70.8,4.5,Pass
S176,89.2,62.4,59.7,2.5,Fail
S032,77.7,59.8,71.2,2.8,Fail
S187,92.9,58.8,55.0,3.0,Fail
S297,63.9,67.1,52.1,4.9,Pass
S088,75.9,59.4,67.4,3.7,Pass
S147,74.6,65.9,59.2,5.2,Pass
S275,80.5,50.4,78.1,6.6,Pass
S055,90.0,60.0,59.3,3.7,Pass
S194,84.6,67.6,76.1,6.6,Pass
S039,87.0,69.4,52.4,2.7,Fail
S103,73.8,65.8,69.6,4.1,Pass
S317,81.1,60.8,57.3,4.8,Pass
S016,100.0,57.2,75.6,6.1,Pass
S273,73.3,45.4,55.1,3.8,Fail
S178,78.2,65.2,53.9,3.1,Fail
S301,62.1,67.7,52.2,6.4,Pass
S065,82.1,70.6,69.1,4.7,Pass
S305,86.3,60.6,58.0,3.2,Pass
S233,90.5,66.5,74.8,6.6,Pass
S166,82.5,66.8,52.7,4.8,Fail
S115,72.2,68.3,67.8,6.9,Pass
S174,94.4,66.6,72.0,6.5,Pass
S073,71.7,69.9,67.4,6.8,Pass
S003,100.0,73.7,68.3,5.4,Pass
S095,97.9,59.7,72.0,3.6,Fail
S070,85.4,52.7,59.2,4.4,Fail
S291,94.3,70.7,70.6,5.5,Pass
S149,67.5,53.1,64.5,4.6,Pass
S270,72.9,68.9,54.3,3.8,Fail
S061,82.7,72.9,67.7,8.3,Pass
S259,82.8,65.5,74.7,8.4,Pass
S060,75.0,57.4,58.7,4.3,Fail
S041,66.0,74.2,73.6,10.0,Pass
S288,75.1,69.0,60.6,4.7,Pass
S306,64.0,79.4,52.3,4.5,Fail
S063,70.4,57.6,50.8,5.3,Pass
S040,68.5,63.8,75.3,5.3,Pass
S261,92.3,64.1,71.3,6.1,Pass
S076,84.2,72.2,57.5,5.2,Pass
S240,60.6,66.6,53.9,5.0,Pass
S075,90.2,52.5,63.5,3.7,Fail
S162,92.4,69.0,73.7,6.3,Pass
S151,80.6,67.5,60.8,5.0,Fail
S051,90.0,70.9,63.2,5.7,Pass
S309,85.8,71.4,71.6,8.1,Pass
S109,93.4,70.5,79.0,7.8,Pass
S079,63.3,56.2,62.0,5.4,Fail
S010,80.2,69.4,69.6,6.2,Pass
S096,86.3,66.1,58.7,4.5,Pass
S107,87.0,66.4,67.7,5.0,Pass
S019,83.7,64.1,72.1,6.7,Pass
S223,83.5,62.1,70.5,7.5,Pass
S192,86.9,59.0,56.6,3.2,Pass
S091,75.2,66.0,67.1,5.2,Fail
S200,75.5,39.4,57.9,2.2,Pass
S130,68.6,45.4,48.4,3.5,Fail
S220,74.2,71.4,66.2,6.2,Pass
S113,73.6,58.7,63.2,5.7,Pass
S267,67.2,74.2,67.9,9.1,Pass
S243,89.5,60.7,63.8,4.9,Pass
S034,79.4,57.2,57.9,3.6,Pass
S089,81.7,56.0,44.2,2.5,Pass
S078,93.1,54.0,63.2,2.5,Pass
S278,79.8,54.1,62.5,5.4,Pass
S054,93.4,65.4,62.9,4.4,Pass
S146,87.2,75.4,65.6,5.9,Pass
S117,63.6,60.3,74.7,4.6,Pass
S171,86.8,60.9,68.2,4.7,Fail
S045,71.0,48.4,58.4,1.0,Fail
S260,78.2,46.0,59.1,2.5,Fail
S197,63.3,66.3,43.8,2.5,Pass
S213,84.4,63.2,52.9,3.9,Fail
S155,81.0,73.3,75.3,8.0,Pass
S163,65.2,52.5,65.3,6.2,Pass
S123,82.7,59.6,67.8,4.4,Pass
S156,68.5,47.9,61.4,5.9,Pass
S203,73.8,63.8,73.0,6.5,Pass
S029,83.2,68.8,54.2,5.1,Pass
S253,70.8,48.1,71.5,5.6,Pass
S235,70.0,58.8,53.6,4.9,Fail
S185,89.3,59.5,57.7,3.2,Pass
S172,89.1,70.9,68.3,5.9,Pass
S031,100.0,81.5,71.5,6.5,Pass
S256,65.0,51.7,51.4,4.6,Fail
S022,73.5,53.0,72.1,2.4,Fail
S244,85.0,76.6,62.5,5.1,Fail
S238,79.6,62.1,58.4,2.8,Pass
S084,68.4,73.1,71.7,6.8,Pass
S179,70.9,72.3,64.3,4.1,Pass
S121,77.0,54.1,57.0,3.8,Fail
S210,97.2,67.7,69.7,5.7,Pass
S314,72.7,57.2,68.4,5.4,Pass
S255,82.4,64.0,66.1,9.1,Pass
S094,81.2,68.5,66.2,4.7,Pass
S122,70.9,56.4,49.2,5.3,Fail
S005,62.4,64.6,69.1,6.1,Pass
S002,68.6,61.6,73.8,5.4,Fail
S264,80.8,64.5,64.7,7.2,Pass
S129,60.4,62.4,65.4,3.7,Pass
S092,94.0,72.9,65.2,6.8,Pass
S090,81.2,69.4,66.8,4.2,Fail
S028,63.1,55.5,56.5,4.3,Fail
S239,99.1,80.0,68.2,5.9,Pass
S165,62.2,55.3,53.7,4.9,Pass
S274,79.5,55.7,60.1,3.3,Pass
S277,87.6,62.7,57.8,5.9,Pass
S205,83.0,62.3,64.6,5.3,Fail
S218,76.9,56.5,59.8,6.0,Pass
S293,70.7,62.3,58.5,5.9,Pass
S173,85.2,57.8,77.9,6.1,Pass
S180,72.9,59.8,64.7,3.0,Pass
S265,72.6,66.5,68.4,6.8,Pass
S258,80.8,62.6,61.8,5.3,Pass
S286,74.6,64.2,58.6,5.1,Fail
S198,73.8,69.4,66.3,9.1,Pass
S047,97.7,63.3,71.6,5.2,Pass
S307,62.4,59.2,74.6,6.8,Fail
S154,91.6,62.4,65.1,3.0,Fail
S137,86.4,70.4,57.2,4.8,Pass
S082,72.6,71.5,66.2,5.1,Pass
S170,64.8,69.7,63.5,4.1,Pass
S025,78.9,59.2,67.8,3.2,Fail
S067,84.6,50.4,68.2,3.8,Pass
S102,82.2,56.0,59.6,5.7,Fail
S280,72.0,59.9,52.8,5.9,Pass
S169,77.7,64.4,62.5,5.0,Pass
S184,97.6,57.3,60.4,4.1,Fail
S120,71.1,50.5,58.6,2.2,Fail
S214,82.4,63.9,65.9,4.5,Fail
S004,77.1,55.5,56.6,2.9,Fail
S315,77.7,76.5,71.3,5.5,Pass
S068,78.1,54.1,63.7,4.0,Fail
S069,64.2,39.9,46.3,1.0,Fail
S284,71.6,68.1,74.8,6.0,Pass
S191,80.5,61.8,78.4,6.2,Pass
S298,76.7,58.0,60.3,2.7,Pass
S289,75.9,63.8,63.7,5.8,Pass
S304,74.5,69.7,58.3,5.1,Pass
S144,62.8,52.6,69.1,5.7,Fail
S318,79.5,67.0,68.2,5.6,Pass
S093,70.2,56.4,63.5,4.5,Pass
S196,83.7,73.0,62.9,5.0,Pass
S011,75.1,66.9,66.9,5.4,Pass
S247,59.2,63.5,71.8,7.5,Pass
S158,73.9,54.2,55.8,4.6,Pass
S074,72.9,65.6,67.5,5.2,Pass
S014,80.2,61.4,64.4,4.4,Pass
S219,64.2,64.0,56.5,3.8,Fail
S188,92.9,49.5,61.4,3.8,Fail
S027,78.4,58.9,59.4,5.7,Pass
S104,76.3,63.1,60.2,5.0,Pass
S015,88.2,66.7,66.9,6.3,Pass
S057,84.2,69.0,68.3,3.6,Fail
S262,81.4,66.2,74.7,8.2,Pass
S048,89.3,76.4,75.0,7.0,Pass
S254,87.6,66.6,59.4,5.9,Fail
S006,77.3,69.5,68.8,8.0,Pass
S077,84.2,55.0,57.3,2.7,Fail
S212,87.8,67.3,63.3,4.8,Pass
S059,84.9,72.1,71.6,4.7,Pass
S125,74.3,54.2,71.8,7.1,Pass
S053,83.3,71.6,71.0,7.9,Pass
S143,83.8,77.2,70.9,4.8,Pass
S250,82.8,53.9,54.8,4.1,Fail
S320,67.3,53.1,48.4,1.0,Fail
S126,86.3,66.3,64.1,5.9,Pass
S052,58.2,59.0,65.6,5.6,Pass
S204,72.3,68.0,63.0,7.3,Pass
S272,87.0,76.9,70.6,6.0,Pass
